action_key,suggested_label,category,confidence
zgt_launch,Laugh,"Social - Emotes",57.1
spectate_toggle_thirdperson,"Spectator Camera Zoom In","Electronic Access Spectator",56.5
fixed_speed_decrement,"Shields Decrease (Tap)","Flight Power",56.4
fixed_speed_increment,"Shields Increase (Tap)","Flight Power",56.4
spectate_speed_decrement,"Default Movement Speed Decrease","On Foot All",56
v_weapon_ui_scale_toggle,"Weapon Preset Fire","Vehicles Weapons",55.6
v_starmap,Map,"Flight HUD",54.5
v_look_ahead_start_target_tracking,@ui_v_ads_cycle_tracking,"Vehicles View",53.1
v_target_match_vel,Threaten,"Social - Emotes",52.2
v_target_toggle_pin_index_1,"Toggle Mining Operator Mode","Vehicles - Seats and Operator Modes",52.2
v_target_toggle_pin_index_2,"Toggle Mining Operator Mode","Vehicles - Seats and Operator Modes",52.2
v_target_toggle_pin_index_3,"Toggle Mining Operator Mode","Vehicles - Seats and Operator Modes",52.2
pc_screen_focus_down,"Strafe Down","E.V.A All",51.9
pc_screen_focus_left,"Strafe Left","E.V.A All",51.9
v_hud_focused_cycle_mode_back,"Cycle Lock - In View - Back","Vehicle Target Cycling",51.2
v_view_cycle_internal_fwd,"Cycle Lock - In View - Forward","Vehicle Target Cycling",51.2
v_hud_focused_cycle_mode_fwd,"Cycle Focused Salvage Modifiers","Vehicles Salvage",51
v_target_toggle_pin_index_1_hold,"Auto Targeting - Toggle On (Short Press)","Vehicles Targeting",50.8
v_target_toggle_pin_index_2_hold,"Auto Targeting - Toggle On (Short Press)","Vehicles Targeting",50.8
v_target_toggle_pin_index_3_hold,"Auto Targeting - Toggle On (Short Press)","Vehicles Targeting",50.8
pc_screen_focus_up,Focus,"Quick Keys, Interactions
v_yaw_mouse,"Yaw left","Flight Movements",50
focus_on_chat_textinput,Attention,"Social - Emotes",48.3
zgt_detach,"Detach from Surface","E.V.A Zero-G Traversal",46.2
v_strafe_longitudinal_invert,"Strafe Down","E.V.A All",45.7
